Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
772868289,javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Code,Critical,Open,Medium,security,False,,,,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/chatgpt/15_auth_admin_role.js#L92,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868289,2026-05-02 15:07:48.262724,2026-05-02 15:07:48.236487,refs/heads/main,,,,Detected a `mongoose` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.
772868288,javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Code,Critical,Open,Medium,security,False,,,,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/chatgpt/15_auth_admin_role.js#L102,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868288,2026-05-02 15:07:48.262707,2026-05-02 15:07:48.236481,refs/heads/main,,,,Detected a `mongoose` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.
772868287,generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,Code,High,Open,Low,security,False,,,User Authorization,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/claude/15_auth_admin_role.js#L50,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868287,2026-05-02 15:07:48.262691,2026-05-02 15:07:48.236476,refs/heads/main,,,,bcrypt hash detected
772868286,generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,Code,High,Open,Low,security,False,,,User Authorization,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/claude/15_auth_admin_role.js#L57,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868286,2026-05-02 15:07:48.262674,2026-05-02 15:07:48.236470,refs/heads/main,,,,bcrypt hash detected
772868285,generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,Code,High,Open,Low,security,False,,,User Authorization,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/claude/15_auth_admin_role.js#L64,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868285,2026-05-02 15:07:48.262657,2026-05-02 15:07:48.236465,refs/heads/main,,,,bcrypt hash detected
772868284,javascript.express.file.fs-express.fs-express,Code,High,Open,High,security,False,,,Generated Code,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/deepseek/18_api_path_traversal.js#L45,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868284,2026-05-02 15:07:48.262640,2026-05-02 15:07:48.236460,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. To prevent this vulnerability, validate and sanitize any input that is used to create references to file paths. Also, enforce strict file access controls. For example, choose privileges allowing public-facing applications to access only the required files."
772868283,javascript.express.express-fs-filename.express-fs-filename,Code,Medium,Open,Medium,security,False,,,,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/chatgpt/18_api_path_traversal.js#L32,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868283,2026-05-02 15:07:48.262623,2026-05-02 15:07:48.236454,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the file path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. To prevent this vulnerability, validate and sanitize any input that is used to create references to file paths. Also, enforce strict file access controls. For example, choose privileges allowing public-facing applications to access only the required files."
772868282,javascript.express.express-fs-filename.express-fs-filename,Code,Medium,Open,Medium,security,False,,,,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/chatgpt/21_novel_path_traversal.js#L29,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868282,2026-05-02 15:07:48.262606,2026-05-02 15:07:48.236449,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the file path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. To prevent this vulnerability, validate and sanitize any input that is used to create references to file paths. Also, enforce strict file access controls. For example, choose privileges allowing public-facing applications to access only the required files."
772868281,javascript.express.express-fs-filename.express-fs-filename,Code,Medium,Open,Medium,security,False,,,,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/claude/21_novel_path_traversal.js#L16,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868281,2026-05-02 15:07:48.262590,2026-05-02 15:07:48.236444,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the file path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. To prevent this vulnerability, validate and sanitize any input that is used to create references to file paths. Also, enforce strict file access controls. For example, choose privileges allowing public-facing applications to access only the required files."
772868280,javascript.express.express-fs-filename.express-fs-filename,Code,Medium,Open,Medium,security,False,,,Generated Code,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/deepseek/18_api_path_traversal.js#L30,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868280,2026-05-02 15:07:48.262573,2026-05-02 15:07:48.236439,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the file path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. To prevent this vulnerability, validate and sanitize any input that is used to create references to file paths. Also, enforce strict file access controls. For example, choose privileges allowing public-facing applications to access only the required files."
772868279,javascript.express.express-fs-filename.express-fs-filename,Code,Medium,Open,Medium,security,False,,,Generated Code,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/deepseek/18_api_path_traversal.js#L37,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868279,2026-05-02 15:07:48.262556,2026-05-02 15:07:48.236434,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the file path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. To prevent this vulnerability, validate and sanitize any input that is used to create references to file paths. Also, enforce strict file access controls. For example, choose privileges allowing public-facing applications to access only the required files."
772868278,javascript.express.express-fs-filename.express-fs-filename,Code,Medium,Open,Medium,security,False,,,Generated Code,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/deepseek/18_api_path_traversal.js#L45,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868278,2026-05-02 15:07:48.262539,2026-05-02 15:07:48.236428,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the file path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. To prevent this vulnerability, validate and sanitize any input that is used to create references to file paths. Also, enforce strict file access controls. For example, choose privileges allowing public-facing applications to access only the required files."
772868277,javascript.express.express-fs-filename.express-fs-filename,Code,Medium,Open,Medium,security,False,,,Generated Code,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/gemini/18_api_path_traversal.js#L43,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868277,2026-05-02 15:07:48.262523,2026-05-02 15:07:48.236423,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the file path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. To prevent this vulnerability, validate and sanitize any input that is used to create references to file paths. Also, enforce strict file access controls. For example, choose privileges allowing public-facing applications to access only the required files."
772868276,javascript.express.express-fs-filename.express-fs-filename,Code,Medium,Open,Medium,security,False,,,Generated Code,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/grok/18_api_path_traversal.js#L29,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868276,2026-05-02 15:07:48.262506,2026-05-02 15:07:48.236419,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the file path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. To prevent this vulnerability, validate and sanitize any input that is used to create references to file paths. Also, enforce strict file access controls. For example, choose privileges allowing public-facing applications to access only the required files."
772868275,javascript.express.security.audit.express-path-join-resolve-traversal.express-path-join-resolve-traversal,Code,Medium,Open,Medium,security,False,,,,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/chatgpt/21_novel_path_traversal.js#L26,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868275,2026-05-02 15:07:48.262489,2026-05-02 15:07:48.236413,refs/heads/main,,,,"Possible writing outside of the destination, make sure that the target path is nested in the intended destination"
772868274,javascript.express.security.audit.express-path-join-resolve-traversal.express-path-join-resolve-traversal,Code,Medium,Open,Medium,security,False,,,,malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study,https://github.com/malakh727/ai-code-security-study/blob/d9e8d6cf6e23f11c7d718c9f7489bc4732dce9c5/generated_code/claude/21_novel_path_traversal.js#L13,https://semgrep.dev/orgs/malak_hasan727_personal_org/findings/772868274,2026-05-02 15:07:48.262472,2026-05-02 15:07:48.236408,refs/heads/main,,,,"Possible writing outside of the destination, make sure that the target path is nested in the intended destination"
